2025-04-10T20:54:54.320004+0800 INFO Received update from client 0
2025-04-10T20:54:54.431529+0800 INFO aggregate alpha: 0.016027789065587852 (cossim: 0.9998455047607422, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.conv1.weight
2025-04-10T20:54:54.432523+0800 INFO aggregate alpha: 0.016521806659673628 (cossim: 0.9999977350234985, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.bn1.weight
2025-04-10T20:54:54.433519+0800 INFO aggregate alpha: 0.015826992534303825 (cossim: 0.9988594055175781, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.bn1.bias
2025-04-10T20:54:54.434515+0800 INFO aggregate alpha: 0.01605994494429632 (cossim: 0.9709925055503845, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.bn1.running_mean
2025-04-10T20:54:54.435511+0800 INFO aggregate alpha: 0.01893908982433794 (cossim: 0.9979444742202759, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.bn1.running_var
2025-04-10T20:54:54.435511+0800 INFO aggregate alpha: 0.019387075112810598 (cossim: 1.0, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.bn1.num_batches_tracked
2025-04-10T20:54:54.437508+0800 INFO aggregate alpha: 0.015827577404777488 (cossim: 0.9997987151145935, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.0.conv1.weight
2025-04-10T20:54:54.438497+0800 INFO aggregate alpha: 0.014630371539873344 (cossim: 0.9999996423721313, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.0.bn1.weight
2025-04-10T20:54:54.439493+0800 INFO aggregate alpha: 0.015593456753505545 (cossim: 0.998218834400177, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.0.bn1.bias
2025-04-10T20:54:54.440488+0800 INFO aggregate alpha: 0.016251511019771625 (cossim: 0.9913809895515442, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.0.bn1.running_mean
2025-04-10T20:54:54.441484+0800 INFO aggregate alpha: 0.018377335231394582 (cossim: 0.9976738095283508, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.0.bn1.running_var
2025-04-10T20:54:54.441484+0800 INFO aggregate alpha: 0.019387075112810598 (cossim: 1.0, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.0.bn1.num_batches_tracked
2025-04-10T20:54:54.442479+0800 INFO aggregate alpha: 0.015700596026273505 (cossim: 0.9997913241386414, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.0.conv2.weight
2025-04-10T20:54:54.443475+0800 INFO aggregate alpha: 0.015748976811788568 (cossim: 0.9999998211860657, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.0.bn2.weight
2025-04-10T20:54:54.444471+0800 INFO aggregate alpha: 0.015360990235906553 (cossim: 0.9972408413887024, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.0.bn2.bias
2025-04-10T20:54:54.444471+0800 INFO aggregate alpha: 0.01698530301304143 (cossim: 0.9987636208534241, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.0.bn2.running_mean
2025-04-10T20:54:54.445467+0800 INFO aggregate alpha: 0.01821913376693999 (cossim: 0.998266339302063, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.0.bn2.running_var
2025-04-10T20:54:54.446468+0800 INFO aggregate alpha: 0.019387075112810598 (cossim: 1.0, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.0.bn2.num_batches_tracked
2025-04-10T20:54:54.447457+0800 INFO aggregate alpha: 0.015749789631780173 (cossim: 0.9998145699501038, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.1.conv1.weight
2025-04-10T20:54:54.447457+0800 INFO aggregate alpha: 0.01590366005539389 (cossim: 1.0, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.1.bn1.weight
2025-04-10T20:54:54.448453+0800 INFO aggregate alpha: 0.01520323717214844 (cossim: 0.9982122182846069, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.1.bn1.bias
2025-04-10T20:54:54.449449+0800 INFO aggregate alpha: 0.016292780380194084 (cossim: 0.9952583909034729, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.1.bn1.running_mean
2025-04-10T20:54:54.450444+0800 INFO aggregate alpha: 0.017879247538679255 (cossim: 0.9980090856552124, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.1.bn1.running_var
2025-04-10T20:54:54.450444+0800 INFO aggregate alpha: 0.019387075112810598 (cossim: 1.0, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.1.bn1.num_batches_tracked
2025-04-10T20:54:54.451440+0800 INFO aggregate alpha: 0.015661394707859204 (cossim: 0.9998117089271545, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.1.conv2.weight
2025-04-10T20:54:54.452436+0800 INFO aggregate alpha: 0.015423770832416802 (cossim: 1.0, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.1.bn2.weight
2025-04-10T20:54:54.452436+0800 INFO aggregate alpha: 0.015608921328696373 (cossim: 0.9977278709411621, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.1.bn2.bias
2025-04-10T20:54:54.453431+0800 INFO aggregate alpha: 0.016587508609216435 (cossim: 0.9981516003608704, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.1.bn2.running_mean
2025-04-10T20:54:54.454427+0800 INFO aggregate alpha: 0.018347806770813956 (cossim: 0.9983903765678406, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.1.bn2.running_var
2025-04-10T20:54:54.454427+0800 INFO aggregate alpha: 0.019387075112810598 (cossim: 1.0, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer1.1.bn2.num_batches_tracked
2025-04-10T20:54:54.455422+0800 INFO aggregate alpha: 0.01571463291764144 (cossim: 0.9998326897621155, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.conv1.weight
2025-04-10T20:54:54.456417+0800 INFO aggregate alpha: 0.015903108177613614 (cossim: 0.9999998807907104, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.bn1.weight
2025-04-10T20:54:54.457413+0800 INFO aggregate alpha: 0.015476355187002841 (cossim: 0.9983410239219666, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.bn1.bias
2025-04-10T20:54:54.457413+0800 INFO aggregate alpha: 0.017056736693226143 (cossim: 0.9942620992660522, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.bn1.running_mean
2025-04-10T20:54:54.458408+0800 INFO aggregate alpha: 0.018178600743447192 (cossim: 0.9976066946983337, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.bn1.running_var
2025-04-10T20:54:54.459403+0800 INFO aggregate alpha: 0.019387075112810598 (cossim: 1.0, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.bn1.num_batches_tracked
2025-04-10T20:54:54.460399+0800 INFO aggregate alpha: 0.015658960746888034 (cossim: 0.9997327327728271, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.conv2.weight
2025-04-10T20:54:54.460399+0800 INFO aggregate alpha: 0.01535682265886473 (cossim: 1.0, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.bn2.weight
2025-04-10T20:54:54.461396+0800 INFO aggregate alpha: 0.015057376474688158 (cossim: 0.9972453117370605, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.bn2.bias
2025-04-10T20:54:54.462393+0800 INFO aggregate alpha: 0.01664145016323495 (cossim: 0.9912552237510681, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.bn2.running_mean
2025-04-10T20:54:54.462393+0800 INFO aggregate alpha: 0.018437143486164313 (cossim: 0.9979259371757507, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.bn2.running_var
2025-04-10T20:54:54.463387+0800 INFO aggregate alpha: 0.019387075112810598 (cossim: 1.0, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.bn2.num_batches_tracked
2025-04-10T20:54:54.464383+0800 INFO aggregate alpha: 0.01575889561515476 (cossim: 0.9999841451644897, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.downsample.0.weight
2025-04-10T20:54:54.464383+0800 INFO aggregate alpha: 0.01530809694973699 (cossim: 0.9999997615814209, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.downsample.1.weight
2025-04-10T20:54:54.465379+0800 INFO aggregate alpha: 0.015057376474688158 (cossim: 0.9972453117370605, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.downsample.1.bias
2025-04-10T20:54:54.466374+0800 INFO aggregate alpha: 0.01759346782790397 (cossim: 0.9993601441383362, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.downsample.1.running_mean
2025-04-10T20:54:54.466374+0800 INFO aggregate alpha: 0.018353602987174755 (cossim: 0.9974490404129028, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.downsample.1.running_var
2025-04-10T20:54:54.467370+0800 INFO aggregate alpha: 0.019387075112810598 (cossim: 1.0, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.0.downsample.1.num_batches_tracked
2025-04-10T20:54:54.468363+0800 INFO aggregate alpha: 0.015618315248304149 (cossim: 0.9997450709342957, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.1.conv1.weight
2025-04-10T20:54:54.469359+0800 INFO aggregate alpha: 0.01545415710302547 (cossim: 1.0, client_weight: 0.01074, staleness: 3, comp_weight: 0) layer: resnet18.layer2.1.bn1.weight
